,gid,pid,fgxp,dist,make,season,postseason,away,stadium,temp,humidity,wind-spd,cond,surface,player id,player
0,3189,518667,FG,33,1,2012,0,1,MetLife Stadium,77,63,5,Fair,FieldTurf,DB-0200,Dan Bailey
1,3190,518780,FG,35,1,2012,0,0,Soldier Field,67,66,13,Partly Cloudy,Grass,RG-1500,Robbie Gould
2,3190,518806,FG,37,0,2012,0,1,Soldier Field,67,66,13,Partly Cloudy,Grass,AV-0400,Adam Vinatieri
3,3190,518822,FG,26,1,2012,0,0,Soldier Field,67,66,13,Partly Cloudy,Grass,RG-1500,Robbie Gould
4,3191,518902,FG,43,1,2012,0,0,Cleveland Browns Stadium,68,57,9,Sunny,Grass,PD-0200,Phil Dawson
5,3191,519009,FG,42,1,2012,0,0,Cleveland Browns Stadium,68,57,9,Sunny,Grass,PD-0200,Phil Dawson
6,3191,519029,FG,22,1,2012,0,0,Cleveland Browns Stadium,68,57,9,Sunny,Grass,PD-0200,Phil Dawson
7,3192,519101,FG,39,1,2012,0,0,Arrowhead Stadium,69,47,7,Sunny,Grass,RS-3400,Ryan Succop
8,3192,519107,FG,34,1,2012,0,1,Arrowhead Stadium,69,47,7,Sunny,Grass,MB-4600,Matt Bryant
9,3192,519150,FG,21,1,2012,0,1,Arrowhead Stadium,69,47,7,Sunny,Grass,MB-4600,Matt Bryant
10,3192,519164,FG,40,0,2012,0,0,Arrowhead Stadium,69,47,7,Sunny,Grass,RS-3400,Ryan Succop
11,3192,519191,FG,30,1,2012,0,1,Arrowhead Stadium,69,47,7,Sunny,Grass,MB-4600,Matt Bryant
12,3192,519199,FG,41,1,2012,0,1,Arrowhead Stadium,69,47,7,Sunny,Grass,MB-4600,Matt Bryant
13,3193,519299,FG,25,1,2012,0,0,Metlife Stadium,74,48,1,Sunny,FieldTurf,NF-0300,Nick Folk
14,3193,519309,FG,39,1,2012,0,0,Metlife Stadium,74,48,1,Sunny,FieldTurf,NF-0300,Nick Folk
15,3194,519417,FG,48,1,2012,0,1,Ford Field,-999,-999,-999,Dome,FieldTurf,GZ-2000,Greg Zuerlein
16,3194,519449,FG,29,1,2012,0,1,Ford Field,-999,-999,-999,Dome,FieldTurf,GZ-2000,Greg Zuerlein
17,3194,519534,FG,46,1,2012,0,1,Ford Field,-999,-999,-999,Dome,FieldTurf,GZ-2000,Greg Zuerlein
18,3196,519767,FG,39,1,2012,0,1,Reliant Stadium,-999,-999,-999,Closed Roof,Grass,DC-0500,Dan Carpenter
19,3197,520045,FG,25,1,2012,0,1,LP Field,-999,-999,-999,Sunny,Grass,SG-0800,Stephen Gostkowski
20,3197,520056,FG,31,1,2012,0,1,LP Field,-999,-999,-999,Sunny,Grass,SG-0800,Stephen Gostkowski
21,3198,520171,FG,20,1,2012,0,0,Mall of America Field at HHH Metrodome,-999,-999,-999,Dome,AstroTurf,BW-0350,Blair Walsh
